season,number,position,driverId,constructorId,Q1,Q2,Q3
2018,7,2,raikkonen,ferrari,1:23.096,1:22.507,1:21.828
2018,5,3,vettel,ferrari,1:23.348,1:21.944,1:21.838
2018,33,4,max_verstappen,red_bull,1:23.483,1:22.416,1:21.879
2018,3,5,ricciardo,red_bull,1:23.494,1:22.897,1:22.152
2018,20,6,kevin_magnussen,haas,1:23.909,1:23.300,1:23.187
2018,8,7,grosjean,haas,1:23.671,1:23.468,1:23.339
2018,27,8,hulkenberg,renault,1:23.782,1:23.544,1:23.532
2018,55,9,sainz,renault,1:23.529,1:23.061,1:23.577
2018,77,10,bottas,mercedes,1:23.686,1:22.089,
2018,14,11,alonso,mclaren,1:23.597,1:23.692,
2018,2,12,vandoorne,mclaren,1:24.073,1:23.853,
2018,11,13,perez,force_india,1:24.344,1:24.005,
2018,18,14,stroll,williams,1:24.464,1:24.230,
2018,31,15,ocon,force_india,1:24.503,1:24.786,
2018,28,16,brendon_hartley,toro_rosso,1:24.532,,
2018,9,17,ericsson,sauber,1:24.556,,
2018,16,18,leclerc,sauber,1:24.636,,
2018,35,19,sirotkin,williams,1:24.922,,
2018,10,20,gasly,toro_rosso,1:25.295,,
2018,5,1,vettel,ferrari,1:29.060,1:28.341,1:27.958
2018,7,2,raikkonen,ferrari,1:28.951,1:28.515,1:28.101
2018,77,3,bottas,mercedes,1:29.275,1:28.794,1:28.124
2018,44,4,hamilton,mercedes,1:29.396,1:28.458,1:28.220
2018,3,5,ricciardo,red_bull,1:29.552,1:28.962,1:28.398
2018,10,6,gasly,toro_rosso,1:30.121,1:29.836,1:29.329
2018,20,7,kevin_magnussen,haas,1:29.594,1:29.623,1:29.358
2018,27,8,hulkenberg,renault,1:30.260,1:29.187,1:29.570
2018,31,9,ocon,force_india,1:30.338,1:30.009,1:29.874
2018,55,10,sainz,renault,1:29.893,1:29.802,1:29.986
2019,44,1,hamilton,mercedes,1:22.043,1:21.014,1:20.486
2019,77,2,bottas,mercedes,1:22.367,1:21.193,1:20.598
2019,5,3,vettel,ferrari,1:22.885,1:21.912,1:21.190
2019,33,4,max_verstappen,red_bull,1:22.876,1:21.678,1:21.320
2019,16,5,leclerc,ferrari,1:22.017,1:21.739,1:21.442
2019,8,6,grosjean,haas,1:22.959,1:21.870,1:21.826
2019,20,7,kevin_magnussen,haas,1:22.519,1:22.221,1:22.099
2019,4,8,norris,mclaren,1:22.702,1:22.423,1:22.304
2019,7,9,raikkonen,alfa,1:22.966,1:22.349,1:22.314
2019,11,10,perez,racing_point,1:22.908,1:22.532,1:22.781
2019,27,11,hulkenberg,renault,1:22.540,1:22.562,
2019,3,12,ricciardo,renault,1:22.921,1:22.570,
2019,23,13,albon,toro_rosso,1:22.757,1:22.636,
2019,99,14,giovinazzi,alfa,1:22.431,1:22.714,
2019,26,15,kvyat,toro_rosso,1:22.511,1:22.774,
2019,18,16,stroll,racing_point,1:23.017,,
